time,o2,temp,pressure,volume,event
0,8.4962,22.2,101.2,0.95,
5,8.4914,22.2,101.2,0.95,
10,8.4943,22.2,101.2,0.95,
15,8.4885,22.2,101.2,0.95,
20,8.4969,22.2,101.2,0.95,
25,8.4931,22.2,101.2,0.95,
30,8.4968,22.2,101.2,0.95,
35,8.497,22.2,101.21,0.95,
40,8.4954,22.21,101.21,0.95,
45,8.4974,22.21,101.21,0.95,
50,8.4955,22.21,101.21,0.95,
55,8.5028,22.21,101.21,0.95,
60,8.5016,22.21,101.21,0.95,
65,8.5002,22.21,101.21,0.95,
70,8.494,22.21,101.21,0.95,
75,8.4947,22.21,101.21,0.95,
80,8.4969,22.21,101.21,0.95,
85,8.499,22.21,101.21,0.95,
90,8.5021,22.21,101.21,0.95,
95,8.4972,22.21,101.22,0.95,
100,8.5059,22.21,101.22,0.95,
105,8.5016,22.21,101.22,0.95,
110,8.4939,22.22,101.22,0.95,
115,8.5005,22.22,101.22,0.95,
120,8.4924,22.22,101.22,0.95,
125,8.5002,22.22,101.22,0.95,
130,8.5014,22.22,101.22,0.95,
135,8.5016,22.22,101.22,0.95,
140,8.5031,22.22,101.22,0.95,
145,8.5032,22.22,101.22,0.95,
150,8.5029,22.22,101.22,0.95,
155,8.5116,22.22,101.23,0.95,
160,8.5109,22.22,101.23,0.95,
165,8.5019,22.22,101.23,0.95,
170,8.5119,22.22,101.23,0.95,
175,8.5008,22.22,101.23,0.95,
180,8.5044,22.23,101.23,0.95,
185,8.5142,22.23,101.23,0.95,
190,8.4995,22.23,101.23,0.95,
195,8.5112,22.23,101.23,0.95,
200,8.5043,22.23,101.23,0.95,
205,8.5092,22.23,101.23,0.95,
210,8.5094,22.23,101.23,0.95,
215,8.5173,22.23,101.24,0.95,
220,8.5077,22.23,101.24,0.95,
225,8.5111,22.23,101.24,0.95,
230,8.5143,22.23,101.24,0.95,
235,8.5112,22.23,101.24,0.95,
240,8.5093,22.23,101.24,0.95,
245,8.5128,22.23,101.24,0.95,
250,8.5138,22.23,101.24,0.95,
255,8.5174,22.24,101.24,0.95,
260,8.5105,22.24,101.24,0.95,
265,8.5129,22.24,101.24,0.95,
270,8.5164,22.24,101.24,0.95,
275,8.5148,22.24,101.25,0.95,
280,8.5151,22.24,101.25,0.95,
285,8.5162,22.24,101.25,0.95,
290,8.5139,22.24,101.25,0.95,
295,8.5139,22.24,101.25,0.95,
300,8.5193,22.24,101.25,0.95,
305,8.5136,22.24,101.25,0.95,
310,8.523,22.24,101.25,0.95,
315,8.5197,22.24,101.25,0.95,
320,8.5141,22.24,101.25,0.95,
325,8.5207,22.24,101.25,0.95,
330,8.5207,22.25,101.25,0.95,
335,8.5235,22.25,101.25,0.95,
340,8.5255,22.25,101.26,0.95,
345,8.5198,22.25,101.26,0.95,
350,8.5189,22.25,101.26,0.95,
355,8.5197,22.25,101.26,0.95,
360,8.5186,22.25,101.26,0.95,
365,8.52,22.25,101.26,0.95,
370,8.5245,22.25,101.26,0.95,
375,8.5238,22.25,101.26,0.95,
380,8.5222,22.25,101.26,0.95,
385,8.5217,22.25,101.26,0.95,
390,8.5264,22.25,101.26,0.95,
395,8.5234,22.25,101.26,0.95,
400,8.5217,22.25,101.26,0.95,
405,8.5257,22.25,101.27,0.95,
410,8.5256,22.26,101.27,0.95,
415,8.5228,22.26,101.27,0.95,
420,8.5308,22.26,101.27,0.95,
425,8.5313,22.26,101.27,0.95,
430,8.5285,22.26,101.27,0.95,
435,8.5293,22.26,101.27,0.95,
440,8.5313,22.26,101.27,0.95,
445,8.5295,22.26,101.27,0.95,
450,8.5336,22.26,101.27,0.95,
455,8.5371,22.26,101.27,0.95,
460,8.5312,22.26,101.27,0.95,
465,8.5331,22.26,101.27,0.95,
470,8.5352,22.26,101.27,0.95,
475,8.5308,22.26,101.28,0.95,
480,8.5281,22.26,101.28,0.95,
485,8.5366,22.26,101.28,0.95,
490,8.5272,22.26,101.28,0.95,
495,8.541,22.26,101.28,0.95,
500,8.5378,22.27,101.28,0.95,
505,8.5355,22.27,101.28,0.95,
510,8.5354,22.27,101.28,0.95,
515,8.5426,22.27,101.28,0.95,
520,8.5322,22.27,101.28,0.95,
525,8.5318,22.27,101.28,0.95,
530,8.5345,22.27,101.28,0.95,
535,8.5362,22.27,101.28,0.95,
540,8.5337,22.27,101.28,0.95,
545,8.5388,22.27,101.29,0.95,
550,8.5391,22.27,101.29,0.95,
555,8.5357,22.27,101.29,0.95,
560,8.5458,22.27,101.29,0.95,
565,8.5343,22.27,101.29,0.95,
570,8.5352,22.27,101.29,0.95,
575,8.5422,22.27,101.29,0.95,
580,8.5403,22.27,101.29,0.95,
585,8.5432,22.27,101.29,0.95,
590,8.5395,22.27,101.29,0.95,
595,8.5383,22.28,101.29,0.95,
600,8.545,22.28,101.29,0.95,flush
605,8.5454,22.28,101.29,0.95,
610,8.5507,22.28,101.29,0.95,
615,8.5471,22.28,101.29,0.95,
620,8.5526,22.28,101.3,0.95,
625,8.5523,22.28,101.3,0.95,
630,8.5546,22.28,101.3,0.95,
635,8.5546,22.28,101.3,0.95,
640,8.5546,22.28,101.3,0.95,
645,8.555,22.28,101.3,0.95,
650,8.5503,22.28,101.3,0.95,
655,8.5518,22.28,101.3,0.95,
660,8.546,22.28,101.3,0.95,
665,8.555,22.28,101.3,0.95,
670,8.5515,22.28,101.3,0.95,
675,8.5563,22.28,101.3,0.95,
680,8.5572,22.28,101.3,0.95,
685,8.5501,22.28,101.3,0.95,
690,8.5519,22.28,101.3,0.95,
695,8.555,22.28,101.3,0.95,
700,8.5548,22.28,101.31,0.95,
705,8.558,22.28,101.31,0.95,
710,8.5531,22.28,101.31,0.95,
715,8.5584,22.29,101.31,0.95,
720,8.5519,22.29,101.31,0.95,
725,8.5505,22.29,101.31,0.95,
730,8.5624,22.29,101.31,0.95,
735,8.5548,22.29,101.31,0.95,
740,8.5582,22.29,101.31,0.95,
745,8.5552,22.29,101.31,0.95,
750,8.5557,22.29,101.31,0.95,
755,8.5602,22.29,101.31,0.95,
760,8.5606,22.29,101.31,0.95,
765,8.5666,22.29,101.31,0.95,
770,8.5649,22.29,101.31,0.95,
775,8.5625,22.29,101.31,0.95,
780,8.567,22.29,101.31,0.95,
785,8.5689,22.29,101.31,0.95,
790,8.5665,22.29,101.32,0.95,
795,8.5637,22.29,101.32,0.95,
800,8.5699,22.29,101.32,0.95,
805,8.5733,22.29,101.32,0.95,
810,8.5693,22.29,101.32,0.95,
815,8.5742,22.29,101.32,0.95,
820,8.5713,22.29,101.32,0.95,
825,8.5714,22.29,101.32,0.95,
830,8.5641,22.29,101.32,0.95,
835,8.5645,22.29,101.32,0.95,
840,8.5692,22.29,101.32,0.95,
845,8.5632,22.29,101.32,0.95,
850,8.5679,22.29,101.32,0.95,
855,8.5742,22.29,101.32,0.95,
860,8.5686,22.29,101.32,0.95,
865,8.5738,22.29,101.32,0.95,
870,8.5667,22.29,101.32,0.95,
875,8.5706,22.29,101.32,0.95,
880,8.5772,22.3,101.32,0.95,
885,8.5744,22.3,101.32,0.95,
890,8.5751,22.3,101.33,0.95,
895,8.5813,22.3,101.33,0.95,
900,8.5801,22.3,101.33,0.95,
905,8.5719,22.3,101.33,0.95,
910,8.5811,22.3,101.33,0.95,
915,8.5738,22.3,101.33,0.95,
920,8.5767,22.3,101.33,0.95,
925,8.5773,22.3,101.33,0.95,
930,8.582,22.3,101.33,0.95,
935,8.5736,22.3,101.33,0.95,
940,8.5804,22.3,101.33,0.95,
945,8.5812,22.3,101.33,0.95,
950,8.5828,22.3,101.33,0.95,
955,8.5791,22.3,101.33,0.95,
960,8.5845,22.3,101.33,0.95,
965,8.5781,22.3,101.33,0.95,
970,8.586,22.3,101.33,0.95,
975,8.5833,22.3,101.33,0.95,
980,8.5767,22.3,101.33,0.95,
985,8.5844,22.3,101.33,0.95,
990,8.584,22.3,101.33,0.95,
995,8.5823,22.3,101.33,0.95,
1000,8.5813,22.3,101.33,0.95,
1005,8.5837,22.3,101.33,0.95,
1010,8.5794,22.3,101.34,0.95,
1015,8.5924,22.3,101.34,0.95,
1020,8.5816,22.3,101.34,0.95,
1025,8.5839,22.3,101.34,0.95,
1030,8.5916,22.3,101.34,0.95,
1035,8.5898,22.3,101.34,0.95,
1040,8.5909,22.3,101.34,0.95,
1045,8.5945,22.3,101.34,0.95,
1050,8.5877,22.3,101.34,0.95,
1055,8.5852,22.3,101.34,0.95,
1060,8.5933,22.3,101.34,0.95,
1065,8.5935,22.3,101.34,0.95,
1070,8.5895,22.3,101.34,0.95,
1075,8.5862,22.3,101.34,0.95,
1080,8.5967,22.3,101.34,0.95,
1085,8.5946,22.3,101.34,0.95,
1090,8.5873,22.3,101.34,0.95,
1095,8.5963,22.3,101.34,0.95,
1100,8.5879,22.3,101.34,0.95,
1105,8.5923,22.3,101.34,0.95,
1110,8.5902,22.3,101.34,0.95,
1115,8.5926,22.3,101.34,0.95,
1120,8.5923,22.3,101.34,0.95,
1125,8.5937,22.3,101.34,0.95,
1130,8.5995,22.3,101.34,0.95,
1135,8.5983,22.3,101.34,0.95,
1140,8.6001,22.3,101.34,0.95,
1145,8.6024,22.3,101.34,0.95,
