time,o2,temp,pressure,volume,event
3600,8.4874,22.2,101.2,0.95,
3605,8.4849,22.2,101.2,0.95,
3610,8.4944,22.2,101.2,0.95,
3615,8.4888,22.2,101.2,0.95,
3620,8.503,22.2,101.2,0.95,
3625,8.5041,22.2,101.2,0.95,
3630,8.4961,22.2,101.2,0.95,
3635,8.4976,22.2,101.21,0.95,
3640,8.4956,22.21,101.21,0.95,
3645,8.5011,22.21,101.21,0.95,
3650,8.497,22.21,101.21,0.95,
3655,8.4977,22.21,101.21,0.95,
3660,8.5033,22.21,101.21,0.95,
3665,8.5008,22.21,101.21,0.95,
3670,8.5072,22.21,101.21,0.95,
3675,8.4925,22.21,101.21,0.95,
3680,8.4972,22.21,101.21,0.95,
3685,8.4962,22.21,101.21,0.95,
3690,8.5036,22.21,101.21,0.95,
3695,8.4986,22.21,101.22,0.95,
3700,8.5034,22.21,101.22,0.95,
3705,8.4967,22.21,101.22,0.95,
3710,8.5014,22.22,101.22,0.95,
3715,8.5113,22.22,101.22,0.95,
3720,8.5091,22.22,101.22,0.95,
3725,8.4954,22.22,101.22,0.95,
3730,8.5047,22.22,101.22,0.95,
3735,8.507,22.22,101.22,0.95,
3740,8.5021,22.22,101.22,0.95,
3745,8.5,22.22,101.22,0.95,
3750,8.5075,22.22,101.22,0.95,
3755,8.5056,22.22,101.23,0.95,
3760,8.5078,22.22,101.23,0.95,
3765,8.5054,22.22,101.23,0.95,
3770,8.5157,22.22,101.23,0.95,
3775,8.5031,22.22,101.23,0.95,
3780,8.5052,22.23,101.23,0.95,
3785,8.5096,22.23,101.23,0.95,
3790,8.5109,22.23,101.23,0.95,
3795,8.5028,22.23,101.23,0.95,
3800,8.5139,22.23,101.23,0.95,
3805,8.5033,22.23,101.23,0.95,
3810,8.5095,22.23,101.23,0.95,
3815,8.5086,22.23,101.24,0.95,
3820,8.5074,22.23,101.24,0.95,
3825,8.5152,22.23,101.24,0.95,
3830,8.5016,22.23,101.24,0.95,
3835,8.5085,22.23,101.24,0.95,
3840,8.5082,22.23,101.24,0.95,
3845,8.5157,22.23,101.24,0.95,
3850,8.5188,22.23,101.24,0.95,
3855,8.5161,22.24,101.24,0.95,
3860,8.5189,22.24,101.24,0.95,
3865,8.5049,22.24,101.24,0.95,
3870,8.5148,22.24,101.24,0.95,
3875,8.509,22.24,101.25,0.95,
3880,8.5134,22.24,101.25,0.95,
3885,8.5163,22.24,101.25,0.95,
3890,8.5161,22.24,101.25,0.95,
3895,8.5216,22.24,101.25,0.95,
3900,8.5086,22.24,101.25,0.95,
3905,8.5135,22.24,101.25,0.95,
3910,8.5114,22.24,101.25,0.95,
3915,8.5111,22.24,101.25,0.95,
3920,8.5221,22.24,101.25,0.95,
3925,8.5192,22.24,101.25,0.95,
3930,8.5251,22.25,101.25,0.95,
3935,8.524,22.25,101.25,0.95,
3940,8.5199,22.25,101.26,0.95,
3945,8.5161,22.25,101.26,0.95,
