time,o2,temp,pressure,volume,event
0,8.4223,22.5,101.0,0.95,
5,8.4231,22.5,101.0,0.95,
10,8.4249,22.5,101.0,0.95,
15,8.425,22.5,101.0,0.95,
20,8.4334,22.5,101.0,0.95,
25,8.4308,22.5,101.0,0.95,
30,8.4384,22.5,101.0,0.95,
35,8.4422,22.5,101.01,0.95,
40,8.4343,22.51,101.01,0.95,
45,8.429,22.51,101.01,0.95,
50,8.4347,22.51,101.01,0.95,
55,8.437,22.51,101.01,0.95,
60,8.421,22.51,101.01,0.95,stirring
65,8.4107,22.51,101.01,0.95,
70,8.3997,22.51,101.01,0.95,
75,8.3867,22.51,101.01,0.95,
80,8.3793,22.51,101.01,0.95,
85,8.3777,22.51,101.01,0.95,
90,8.3908,22.51,101.01,0.95,
95,8.3903,22.51,101.02,0.95,
100,8.3989,22.51,101.02,0.95,
105,8.415,22.51,101.02,0.95,
110,8.4366,22.52,101.02,0.95,
115,8.4471,22.52,101.02,0.95,
120,8.4684,22.52,101.02,0.95,
125,8.4842,22.52,101.02,0.95,
130,8.4963,22.52,101.02,0.95,
135,8.5073,22.52,101.02,0.95,
140,8.5035,22.52,101.02,0.95,
145,8.5096,22.52,101.02,0.95,
150,8.4969,22.52,101.02,0.95,
155,8.4893,22.52,101.03,0.95,
160,8.4831,22.52,101.03,0.95,
165,8.4668,22.52,101.03,0.95,
170,8.4475,22.52,101.03,0.95,
175,8.4268,22.52,101.03,0.95,
180,8.4192,22.53,101.03,0.95,
185,8.4024,22.53,101.03,0.95,
190,8.3926,22.53,101.03,0.95,
195,8.3892,22.53,101.03,0.95,
200,8.3929,22.53,101.03,0.95,
205,8.388,22.53,101.03,0.95,
210,8.4069,22.53,101.03,0.95,
215,8.4186,22.53,101.04,0.95,
220,8.4308,22.53,101.04,0.95,
225,8.454,22.53,101.04,0.95,
230,8.4693,22.53,101.04,0.95,
235,8.4805,22.53,101.04,0.95,
240,8.4526,22.53,101.04,0.95,
245,8.4585,22.53,101.04,0.95,
250,8.4501,22.53,101.04,0.95,
255,8.4553,22.54,101.04,0.95,
260,8.4546,22.54,101.04,0.95,
265,8.4579,22.54,101.04,0.95,
270,8.4589,22.54,101.04,0.95,
275,8.4587,22.54,101.05,0.95,
280,8.4636,22.54,101.05,0.95,
285,8.4604,22.54,101.05,0.95,
290,8.4587,22.54,101.05,0.95,
295,8.4556,22.54,101.05,0.95,
300,8.4638,22.54,101.05,0.95,
305,8.4635,22.54,101.05,0.95,
310,8.4677,22.54,101.05,0.95,
315,8.4593,22.54,101.05,0.95,
320,8.4629,22.54,101.05,0.95,
325,8.463,22.54,101.05,0.95,
330,8.4634,22.55,101.05,0.95,
335,8.4643,22.55,101.05,0.95,
340,8.4578,22.55,101.06,0.95,
345,8.4685,22.55,101.06,0.95,
350,8.4683,22.55,101.06,0.95,
355,8.4706,22.55,101.06,0.95,
360,8.4756,22.55,101.06,0.95,
365,8.4658,22.55,101.06,0.95,
370,8.4674,22.55,101.06,0.95,
375,8.4681,22.55,101.06,0.95,
380,8.4763,22.55,101.06,0.95,
385,8.4621,22.55,101.06,0.95,
390,8.4714,22.55,101.06,0.95,
395,8.4641,22.55,101.06,0.95,
400,8.4601,22.55,101.06,0.95,
405,8.4628,22.55,101.07,0.95,
410,8.4658,22.56,101.07,0.95,
415,8.4761,22.56,101.07,0.95,
420,8.4689,22.56,101.07,0.95,
425,8.4719,22.56,101.07,0.95,
430,8.4686,22.56,101.07,0.95,
435,8.4762,22.56,101.07,0.95,
440,8.4698,22.56,101.07,0.95,
445,8.48,22.56,101.07,0.95,
450,8.4712,22.56,101.07,0.95,
455,8.4726,22.56,101.07,0.95,
460,8.4767,22.56,101.07,0.95,
465,8.4768,22.56,101.07,0.95,
470,8.4828,22.56,101.07,0.95,
475,8.4781,22.56,101.08,0.95,
480,8.4733,22.56,101.08,0.95,
485,8.4764,22.56,101.08,0.95,
490,8.4768,22.56,101.08,0.95,
495,8.4825,22.56,101.08,0.95,
500,8.4816,22.57,101.08,0.95,
505,8.4801,22.57,101.08,0.95,
510,8.4845,22.57,101.08,0.95,
515,8.4794,22.57,101.08,0.95,
520,8.4814,22.57,101.08,0.95,
525,8.4832,22.57,101.08,0.95,
530,8.4891,22.57,101.08,0.95,
535,8.4831,22.57,101.08,0.95,
540,8.4825,22.57,101.08,0.95,
545,8.4802,22.57,101.09,0.95,
550,8.4877,22.57,101.09,0.95,
555,8.4831,22.57,101.09,0.95,
560,8.4873,22.57,101.09,0.95,
565,8.4788,22.57,101.09,0.95,
570,8.491,22.57,101.09,0.95,
575,8.482,22.57,101.09,0.95,
580,8.4847,22.57,101.09,0.95,
585,8.4926,22.57,101.09,0.95,
590,8.4835,22.57,101.09,0.95,
595,8.489,22.58,101.09,0.95,
600,8.5533,22.58,101.09,0.95,
605,8.5501,22.58,101.09,0.95,
610,8.5605,22.58,101.09,0.95,
615,8.5622,22.58,101.09,0.95,
620,8.5494,22.58,101.1,0.95,
625,8.5526,22.58,101.1,0.95,
630,8.5627,22.58,101.1,0.95,
635,8.5553,22.58,101.1,0.95,
640,8.5601,22.58,101.1,0.95,
645,8.5632,22.58,101.1,0.95,
650,8.5665,22.58,101.1,0.95,
655,8.564,22.58,101.1,0.95,
660,8.5663,22.58,101.1,0.95,
665,8.5633,22.58,101.1,0.95,
670,8.5721,22.58,101.1,0.95,
