time,o2,temp,pressure,volume,event
0,8.3298,23.0,100.8,0.8,
5,8.3228,23.0,100.8,0.8,
10,8.3426,23.0,100.8,0.8,
15,8.323,23.0,100.8,0.8,
20,8.3266,23.0,100.8,0.8,
25,8.3255,23.0,100.8,0.8,
30,8.3351,23.0,100.8,0.8,
35,8.3305,23.0,100.81,0.8,
40,8.3234,23.01,100.81,0.8,
45,8.3304,23.01,100.81,0.8,
50,8.3318,23.01,100.81,0.8,
55,8.3286,23.01,100.81,0.8,
60,8.3252,23.01,100.81,0.8,
65,8.327,23.01,100.81,0.8,
70,8.3279,23.01,100.81,0.8,
75,8.3295,23.01,100.81,0.8,
80,8.3271,23.01,100.81,0.8,
85,8.3319,23.01,100.81,0.8,
90,8.3249,23.01,100.81,0.8,
95,8.3215,23.01,100.82,0.8,
100,8.3253,23.01,100.82,0.8,
105,8.3334,23.01,100.82,0.8,
110,8.3255,23.02,100.82,0.8,
115,8.3369,23.02,100.82,0.8,
120,8.3293,23.02,100.82,0.8,
125,8.3224,23.02,100.82,0.8,
130,8.3235,23.02,100.82,0.8,
135,8.3276,23.02,100.82,0.8,
140,8.3217,23.02,100.82,0.8,
145,8.3356,23.02,100.82,0.8,
150,8.3219,23.02,100.82,0.8,
155,8.3284,23.02,100.83,0.8,
160,8.3313,23.02,100.83,0.8,
165,8.3248,23.02,100.83,0.8,
170,8.321,23.02,100.83,0.8,
175,8.3237,23.02,100.83,0.8,
180,8.326,23.03,100.83,0.8,
185,8.3278,23.03,100.83,0.8,
190,8.3243,23.03,100.83,0.8,
195,8.3182,23.03,100.83,0.8,
200,8.3238,23.03,100.83,0.8,
205,8.3207,23.03,100.83,0.8,
210,8.3144,23.03,100.83,0.8,
215,8.3201,23.03,100.84,0.8,
220,8.3169,23.03,100.84,0.8,
225,8.3248,23.03,100.84,0.8,
230,8.33,23.03,100.84,0.8,
235,8.3294,23.03,100.84,0.8,
240,8.3195,23.03,100.84,0.8,
245,8.3197,23.03,100.84,0.8,
250,8.3241,23.03,100.84,0.8,
255,8.3253,23.04,100.84,0.8,
260,8.3192,23.04,100.84,0.8,
265,8.32,23.04,100.84,0.8,
270,8.3292,23.04,100.84,0.8,
275,8.3197,23.04,100.85,0.8,
280,8.318,23.04,100.85,0.8,
285,8.3202,23.04,100.85,0.8,
290,8.3218,23.04,100.85,0.8,
295,8.3152,23.04,100.85,0.8,
300,8.318,23.04,100.85,0.8,
305,8.3141,23.04,100.85,0.8,
310,8.3175,23.04,100.85,0.8,
315,8.3259,23.04,100.85,0.8,
320,8.3211,23.04,100.85,0.8,
325,8.3175,23.04,100.85,0.8,
330,8.3139,23.05,100.85,0.8,
335,8.3162,23.05,100.85,0.8,
340,8.3214,23.05,100.86,0.8,
345,8.3147,23.05,100.86,0.8,
350,8.3226,23.05,100.86,0.8,
355,8.311,23.05,100.86,0.8,
360,8.3152,23.05,100.86,0.8,
365,8.3231,23.05,100.86,0.8,
370,8.3078,23.05,100.86,0.8,
375,8.3204,23.05,100.86,0.8,
380,8.308,23.05,100.86,0.8,
385,8.3148,23.05,100.86,0.8,
390,8.3143,23.05,100.86,0.8,
395,8.3181,23.05,100.86,0.8,
400,8.3019,23.05,100.86,0.8,
405,8.3066,23.05,100.87,0.8,
410,8.3118,23.06,100.87,0.8,
415,8.314,23.06,100.87,0.8,
420,8.3101,23.06,100.87,0.8,
425,8.3125,23.06,100.87,0.8,
430,8.3085,23.06,100.87,0.8,
435,8.3114,23.06,100.87,0.8,
440,8.3094,23.06,100.87,0.8,
445,8.3135,23.06,100.87,0.8,
450,8.3147,23.06,100.87,0.8,
455,8.3178,23.06,100.87,0.8,
460,8.3093,23.06,100.87,0.8,
465,8.3104,23.06,100.87,0.8,
470,8.3117,23.06,100.87,0.8,
475,8.3101,23.06,100.88,0.8,
480,8.3108,23.06,100.88,0.8,
485,8.3046,23.06,100.88,0.8,
490,8.3121,23.06,100.88,0.8,
495,8.3067,23.06,100.88,0.8,
500,8.3063,23.07,100.88,0.8,
505,8.3036,23.07,100.88,0.8,
510,8.3144,23.07,100.88,0.8,
515,8.309,23.07,100.88,0.8,
520,8.3139,23.07,100.88,0.8,
525,8.3102,23.07,100.88,0.8,
530,8.3021,23.07,100.88,0.8,
535,8.3043,23.07,100.88,0.8,
540,8.3115,23.07,100.88,0.8,
545,8.3052,23.07,100.89,0.8,
550,8.3037,23.07,100.89,0.8,
555,8.3071,23.07,100.89,0.8,
560,8.3069,23.07,100.89,0.8,
565,8.3033,23.07,100.89,0.8,
570,8.3059,23.07,100.89,0.8,
575,8.3051,23.07,100.89,0.8,
580,8.2964,23.07,100.89,0.8,
585,8.3086,23.07,100.89,0.8,
590,8.3031,23.07,100.89,0.8,
595,8.3114,23.08,100.89,0.8,
600,8.3538,23.08,100.89,0.8,flush
605,8.3524,23.08,100.89,0.8,
610,8.3637,23.08,100.89,0.8,
615,8.3529,23.08,100.89,0.8,
620,8.357,23.08,100.9,0.8,
625,8.3622,23.08,100.9,0.8,
630,8.3588,23.08,100.9,0.8,
635,8.3538,23.08,100.9,0.8,
640,8.3614,23.08,100.9,0.8,
645,8.3602,23.08,100.9,0.8,
650,8.3664,23.08,100.9,0.8,
655,8.3639,23.08,100.9,0.8,
660,8.3739,23.08,100.9,0.8,
665,8.355,23.08,100.9,0.8,
670,8.3613,23.08,100.9,0.8,
675,8.3569,23.08,100.9,0.8,
680,8.3656,23.08,100.9,0.8,
685,8.3641,23.08,100.9,0.8,
690,8.3636,23.08,100.9,0.8,
695,8.3573,23.08,100.9,0.8,
700,8.3572,23.08,100.91,0.8,
705,8.3519,23.08,100.91,0.8,
710,8.3666,23.08,100.91,0.8,
715,8.3616,23.09,100.91,0.8,
720,8.3583,23.09,100.91,0.8,
725,8.3629,23.09,100.91,0.8,
730,8.362,23.09,100.91,0.8,
735,8.3627,23.09,100.91,0.8,
740,8.3521,23.09,100.91,0.8,
745,8.3555,23.09,100.91,0.8,
750,8.359,23.09,100.91,0.8,
755,8.3594,23.09,100.91,0.8,
760,8.3616,23.09,100.91,0.8,
765,8.3536,23.09,100.91,0.8,
770,8.3579,23.09,100.91,0.8,
775,8.3661,23.09,100.91,0.8,
780,8.3598,23.09,100.91,0.8,
785,8.3603,23.09,100.91,0.8,
790,8.3566,23.09,100.92,0.8,
795,8.3595,23.09,100.92,0.8,
800,8.3635,23.09,100.92,0.8,
805,8.3565,23.09,100.92,0.8,
810,8.3608,23.09,100.92,0.8,
815,8.3522,23.09,100.92,0.8,
820,8.3579,23.09,100.92,0.8,
825,8.3589,23.09,100.92,0.8,
830,8.3521,23.09,100.92,0.8,
835,8.3593,23.09,100.92,0.8,
840,8.3521,23.09,100.92,0.8,
845,8.3514,23.09,100.92,0.8,
850,8.3544,23.09,100.92,0.8,
855,8.3619,23.09,100.92,0.8,
860,8.3553,23.09,100.92,0.8,
865,8.3576,23.09,100.92,0.8,
870,8.3507,23.09,100.92,0.8,
875,8.3538,23.09,100.92,0.8,
880,8.3486,23.1,100.92,0.8,
885,8.3508,23.1,100.92,0.8,
890,8.3563,23.1,100.93,0.8,
895,8.3526,23.1,100.93,0.8,
860,8.3584,23.1,100.93,0.8,
905,8.3516,23.1,100.93,0.8,
910,8.3514,23.1,100.93,0.8,
915,8.3571,23.1,100.93,0.8,
920,8.3492,23.1,100.93,0.8,
925,8.3456,23.1,100.93,0.8,
930,8.3567,23.1,100.93,0.8,
935,8.3529,23.1,100.93,0.8,
940,8.3424,23.1,100.93,0.8,
945,8.3511,23.1,100.93,0.8,
950,8.3491,23.1,100.93,0.8,
955,8.3576,23.1,100.93,0.8,
960,8.3475,23.1,100.93,0.8,
965,8.3479,23.1,100.93,0.8,
970,8.3464,23.1,100.93,0.8,
975,8.3457,23.1,100.93,0.8,
980,8.3469,23.1,100.93,0.8,
985,8.3438,23.1,100.93,0.8,
990,8.3452,23.1,100.93,0.8,
995,8.3428,23.1,100.93,0.8,
1000,8.343,23.1,100.93,0.8,
1005,8.3426,23.1,100.93,0.8,
1010,8.3466,23.1,100.94,0.8,
1015,8.3458,23.1,100.94,0.8,
1020,8.3434,23.1,100.94,0.8,
1025,8.3501,23.1,100.94,0.8,
1030,8.3478,23.1,100.94,0.8,
1035,8.3461,23.1,100.94,0.8,
1040,8.3458,23.1,100.94,0.8,
1045,8.3539,23.1,100.94,0.8,
1050,8.3483,23.1,100.94,0.8,
1055,8.349,23.1,100.94,0.8,
1060,8.3366,23.1,100.94,0.8,
1065,8.3442,23.1,100.94,0.8,
1070,8.338,23.1,100.94,0.8,
1075,8.3448,23.1,100.94,0.8,
1080,8.3478,23.1,100.94,0.8,
1085,8.3435,23.1,100.94,0.8,
1090,8.3481,23.1,100.94,0.8,
1095,8.3417,23.1,100.94,0.8,
1100,8.348,23.1,100.94,0.8,
1105,8.3393,23.1,100.94,0.8,
1110,8.3443,23.1,100.94,0.8,
1115,8.3469,23.1,100.94,0.8,
1120,8.3472,23.1,100.94,0.8,
1125,8.3443,23.1,100.94,0.8,
1130,8.3525,23.1,100.94,0.8,
1135,8.3429,23.1,100.94,0.8,
1140,8.3426,23.1,100.94,0.8,
1145,8.3332,23.1,100.94,0.8,
1150,8.3511,23.1,100.94,0.8,
1155,8.3424,23.1,100.94,0.8,
1160,8.339,23.1,100.94,0.8,
1165,8.3489,23.1,100.94,0.8,
1170,8.3484,23.1,100.94,0.8,
1175,8.3437,23.1,100.94,0.8,
1180,8.3374,23.1,100.94,0.8,
1185,8.3446,23.1,100.95,0.8,
1190,8.3403,23.1,100.95,0.8,
1195,8.338,23.1,100.95,0.8,
1200,8.3992,23.1,100.95,0.8,flush
1205,8.3868,23.1,100.95,0.8,
1210,8.3979,23.1,100.95,0.8,
1215,8.3978,23.1,100.95,0.8,
1220,8.4045,23.1,100.95,0.8,
1225,8.398,23.1,100.95,0.8,
1230,8.3888,23.1,100.95,0.8,
1235,8.394,23.1,100.95,0.8,
1240,8.3979,23.1,100.95,0.8,
1245,8.3994,23.1,100.95,0.8,
1250,8.4023,23.1,100.95,0.8,
1255,8.3909,23.1,100.95,0.8,
1260,8.3977,23.1,100.95,0.8,
1265,8.4028,23.1,100.95,0.8,
1270,8.4049,23.1,100.95,0.8,
1275,8.406,23.1,100.95,0.8,
1280,8.3969,23.1,100.95,0.8,
1285,8.4027,23.1,100.95,0.8,
1290,8.405,23.1,100.95,0.8,
1295,8.4028,23.1,100.95,0.8,
1300,8.4008,23.1,100.95,0.8,
1305,8.401,23.1,100.95,0.8,
1310,8.3944,23.1,100.95,0.8,
1315,8.3916,23.1,100.95,0.8,
1320,8.4012,23.1,100.95,0.8,
1325,8.3958,23.09,100.95,0.8,
1330,8.3969,23.09,100.95,0.8,
1335,8.3945,23.09,100.95,0.8,
1340,8.3951,23.09,100.95,0.8,
1345,8.3975,23.09,100.95,0.8,
1350,8.3923,23.09,100.95,0.8,
1355,8.3966,23.09,100.95,0.8,
1360,8.3971,23.09,100.95,0.8,
1365,8.3957,23.09,100.95,0.8,
1370,8.3929,23.09,100.95,0.8,
1375,8.3989,23.09,100.95,0.8,
1380,8.4031,23.09,100.95,0.8,
1385,8.3931,23.09,100.95,0.8,
1390,8.4003,23.09,100.95,0.8,
1395,8.3987,23.09,100.95,0.8,
1400,8.3844,23.09,100.95,0.8,
1405,8.3919,23.09,100.95,0.8,
1410,8.3922,23.09,100.95,0.8,
1415,8.3978,23.09,100.95,0.8,
1420,8.3953,23.09,100.95,0.8,
1425,8.3963,23.09,100.95,0.8,
1430,8.3968,23.09,100.95,0.8,
1435,8.3905,23.09,100.95,0.8,
1440,8.391,23.09,100.95,0.8,
1445,8.3889,23.09,100.95,0.8,
1450,8.393,23.09,100.95,0.8,
1455,8.3931,23.09,100.95,0.8,
1460,8.3941,23.09,100.95,0.8,
1465,8.3904,23.09,100.95,0.8,
1470,8.3968,23.09,100.95,0.8,
1475,8.3967,23.09,100.95,0.8,
1480,8.3991,23.09,100.95,0.8,
1485,8.3956,23.09,100.95,0.8,
1490,8.3934,23.08,100.95,0.8,
1495,8.3952,23.08,100.95,0.8,
1500,8.3948,23.08,100.95,0.8,
1505,8.3896,23.08,100.95,0.8,
1510,8.3973,23.08,100.95,0.8,
1515,8.3989,23.08,100.95,0.8,
1520,8.3998,23.08,100.95,0.8,
1525,8.3919,23.08,100.95,0.8,
1530,8.3929,23.08,100.95,0.8,
1535,8.3931,23.08,100.95,0.8,
1540,8.3913,23.08,100.95,0.8,
1545,8.3937,23.08,100.95,0.8,
1550,8.3906,23.08,100.95,0.8,
1555,8.3902,23.08,100.95,0.8,
1560,8.3979,23.08,100.95,0.8,
1565,8.3914,23.08,100.95,0.8,
1570,8.3909,23.08,100.95,0.8,
1575,8.394,23.08,100.95,0.8,
1580,8.3909,23.08,100.95,0.8,
1585,8.3914,23.08,100.95,0.8,
1590,8.3898,23.08,100.95,0.8,
1595,8.3851,23.08,100.95,0.8,
1600,8.3897,23.08,100.95,0.8,
1605,8.3852,23.08,100.95,0.8,
1610,8.3904,23.07,100.95,0.8,
1615,8.3847,23.07,100.95,0.8,
1620,8.393,23.07,100.95,0.8,
1625,8.3922,23.07,100.95,0.8,
1630,8.3902,23.07,100.95,0.8,
1635,8.3886,23.07,100.95,0.8,
1640,8.3905,23.07,100.95,0.8,
1645,8.3809,23.07,100.95,0.8,
1650,8.3842,23.07,100.94,0.8,
1655,8.3879,23.07,100.94,0.8,
1660,8.3898,23.07,100.94,0.8,
1665,8.3879,23.07,100.94,0.8,
1670,8.3841,23.07,100.94,0.8,
1675,8.3885,23.07,100.94,0.8,
1680,8.3861,23.07,100.94,0.8,
1685,8.3835,23.07,100.94,0.8,
1690,8.389,23.07,100.94,0.8,
1695,8.3867,23.07,100.94,0.8,
1700,8.3922,23.07,100.94,0.8,
1705,8.39,23.06,100.94,0.8,
1710,8.3901,23.06,100.94,0.8,
1715,8.3883,23.06,100.94,0.8,
1720,8.3835,23.06,100.94,0.8,
1725,8.3831,23.06,100.94,0.8,
1730,8.3808,23.06,100.94,0.8,
1735,8.3981,23.06,100.94,0.8,
1740,8.3821,23.06,100.94,0.8,
1745,8.3855,23.06,100.94,0.8,
1750,8.3848,23.06,100.94,0.8,
1755,8.385,23.06,100.94,0.8,
1760,8.3836,23.06,100.94,0.8,
1765,8.3784,23.06,100.94,0.8,
1770,8.3818,23.06,100.94,0.8,
1775,8.3801,23.06,100.94,0.8,
1780,8.385,23.06,100.94,0.8,
1785,8.3827,23.06,100.94,0.8,
1790,8.3825,23.06,100.94,0.8,
1795,8.386,23.05,100.94,0.8,
1800,8.4352,23.05,100.94,0.8,flush
