time,o2,temp,pressure,volume,event
0,8.3469,23.0,101.1,0.9,
5,8.3467,23.0,101.1,0.9,
10,8.3587,23.0,101.1,0.9,
15,8.3553,23.0,101.1,0.9,
20,8.3496,23.0,101.1,0.9,
25,8.354,23.0,101.1,0.9,
30,8.3559,23.0,101.1,0.9,
35,8.3543,23.0,101.11,0.9,
40,8.3629,23.01,101.11,0.9,
45,8.3565,23.01,101.11,0.9,
50,8.3424,23.01,101.11,0.9,
55,8.3535,23.01,101.11,0.9,
60,8.3519,23.01,101.11,0.9,
65,8.3538,23.01,101.11,0.9,
70,8.3544,23.01,101.11,0.9,
75,8.3514,23.01,101.11,0.9,
80,8.3494,23.01,101.11,0.9,
85,8.3589,23.01,101.11,0.9,
90,8.3555,23.01,101.11,0.9,
95,8.3502,23.01,101.12,0.9,
100,8.3553,23.01,101.12,0.9,
105,8.355,23.01,101.12,0.9,
110,8.3571,23.02,101.12,0.9,
115,8.3475,23.02,101.12,0.9,
120,8.3545,23.02,101.12,0.9,
125,8.3487,23.02,101.12,0.9,
130,8.3555,23.02,101.12,0.9,
135,8.3498,23.02,101.12,0.9,
140,8.3412,23.02,101.12,0.9,
145,8.3501,23.02,101.12,0.9,
150,8.3426,23.02,101.12,0.9,
155,8.3486,23.02,101.13,0.9,
160,8.3489,23.02,101.13,0.9,
165,8.3472,23.02,101.13,0.9,
170,8.3426,23.02,101.13,0.9,
175,8.3438,23.02,101.13,0.9,
180,8.3446,23.03,101.13,0.9,
185,8.3467,23.03,101.13,0.9,
190,8.3526,23.03,101.13,0.9,
195,8.35,23.03,101.13,0.9,
200,8.345,23.03,101.13,0.9,
205,8.3517,23.03,101.13,0.9,
210,8.3408,23.03,101.13,0.9,
215,8.3487,23.03,101.14,0.9,
220,8.345,23.03,101.14,0.9,
225,8.3464,23.03,101.14,0.9,
230,8.3477,23.03,101.14,0.9,
235,8.3421,23.03,101.14,0.9,
240,8.3478,23.03,101.14,0.9,
245,8.3443,23.03,101.14,0.9,
250,8.3537,23.03,101.14,0.9,
255,8.3425,23.04,101.14,0.9,
260,8.3485,23.04,101.14,0.9,
265,8.3458,23.04,101.14,0.9,
270,8.3382,23.04,101.14,0.9,
275,8.348,23.04,101.15,0.9,
280,8.3381,23.04,101.15,0.9,
285,8.3331,23.04,101.15,0.9,
290,8.3452,23.04,101.15,0.9,
295,8.3458,23.04,101.15,0.9,
300,8.3414,23.04,101.15,0.9,
305,8.3399,23.04,101.15,0.9,
310,8.347,23.04,101.15,0.9,
315,8.3432,23.04,101.15,0.9,
320,8.3374,23.04,101.15,0.9,
325,8.3427,23.04,101.15,0.9,
330,8.3345,23.05,101.15,0.9,
335,8.337,23.05,101.15,0.9,
340,8.3347,23.05,101.16,0.9,
345,8.3299,23.05,101.16,0.9,
350,8.3337,23.05,101.16,0.9,
355,8.343,23.05,101.16,0.9,
360,8.3334,23.05,101.16,0.9,
365,8.3354,23.05,101.16,0.9,
370,8.3326,23.05,101.16,0.9,
375,8.3405,23.05,101.16,0.9,
380,8.3367,23.05,101.16,0.9,
385,8.3384,23.05,101.16,0.9,
390,8.3358,23.05,101.16,0.9,
395,8.3312,23.05,101.16,0.9,
400,8.3317,23.05,101.16,0.9,
405,8.3387,23.05,101.17,0.9,
410,8.3348,23.06,101.17,0.9,
415,8.3379,23.06,101.17,0.9,
420,8.3219,23.06,101.17,0.9,
425,8.3387,23.06,101.17,0.9,
430,8.332,23.06,101.17,0.9,
435,8.3424,23.06,101.17,0.9,
440,8.3314,23.06,101.17,0.9,
445,8.3333,23.06,101.17,0.9,
450,8.3355,23.06,101.17,0.9,
455,8.3291,23.06,101.17,0.9,
460,8.3358,23.06,101.17,0.9,
465,8.3295,23.06,101.17,0.9,
470,8.3369,23.06,101.17,0.9,
475,8.3347,23.06,101.18,0.9,
480,8.3332,23.06,101.18,0.9,
485,8.3281,23.06,101.18,0.9,
490,8.3299,23.06,101.18,0.9,
495,8.3316,23.06,101.18,0.9,
500,8.322,23.07,101.18,0.9,
505,8.3277,23.07,101.18,0.9,
510,8.3334,23.07,101.18,0.9,
515,8.3243,23.07,101.18,0.9,
520,8.3342,23.07,101.18,0.9,
525,8.3263,23.07,101.18,0.9,
530,8.3298,23.07,101.18,0.9,
535,8.3237,23.07,101.18,0.9,
540,8.33,23.07,101.18,0.9,
545,8.3296,23.07,101.19,0.9,
550,8.332,23.07,101.19,0.9,
555,8.3326,23.07,101.19,0.9,
560,8.332,23.07,101.19,0.9,
565,8.3275,23.07,101.19,0.9,
570,8.3215,23.07,101.19,0.9,
575,8.3315,23.07,101.19,0.9,
580,8.3207,23.07,101.19,0.9,
585,8.3239,23.07,101.19,0.9,
590,8.3283,23.07,101.19,0.9,
595,8.3269,23.08,101.19,0.9,
600,8.3895,23.08,101.19,0.9,flush
605,8.3834,23.08,101.19,0.9,
610,8.377,23.08,101.19,0.9,
615,8.3829,23.08,101.19,0.9,
620,8.385,23.08,101.2,0.9,
625,8.3832,23.08,101.2,0.9,
630,8.3905,23.08,101.2,0.9,
635,8.3841,23.08,101.2,0.9,
640,8.3797,23.08,101.2,0.9,
645,8.3876,23.08,101.2,0.9,
650,8.3814,23.08,101.2,0.9,
655,8.3931,23.08,101.2,0.9,
660,8.3876,23.08,101.2,0.9,
665,8.3807,23.08,101.2,0.9,
670,8.3903,23.08,101.2,0.9,
675,8.3952,23.08,101.2,0.9,
680,8.3774,23.08,101.2,0.9,
685,8.3888,23.08,101.2,0.9,
690,8.3868,23.08,101.2,0.9,
695,8.3853,23.08,101.2,0.9,
700,8.3857,23.08,101.21,0.9,
705,8.3861,23.08,101.21,0.9,
710,8.3811,23.08,101.21,0.9,
715,8.3892,23.09,101.21,0.9,
720,8.3779,23.09,101.21,0.9,
725,8.3909,23.09,101.21,0.9,
730,8.3889,23.09,101.21,0.9,
735,8.3777,23.09,101.21,0.9,
740,8.3822,23.09,101.21,0.9,
745,8.3876,23.09,101.21,0.9,
750,8.3797,23.09,101.21,0.9,
755,8.3808,23.09,101.21,0.9,
760,8.3796,23.09,101.21,0.9,
765,8.3856,23.09,101.21,0.9,
770,8.3782,23.09,101.21,0.9,
775,8.3803,23.09,101.21,0.9,
780,8.3823,23.09,101.21,0.9,
785,8.379,23.09,101.21,0.9,
790,8.3761,23.09,101.22,0.9,
795,8.374,23.09,101.22,0.9,
800,8.373,23.09,101.22,0.9,
805,8.3741,23.09,101.22,0.9,
810,8.3717,23.09,101.22,0.9,
815,8.3754,23.09,101.22,0.9,
820,8.3792,23.09,101.22,0.9,
825,8.378,23.09,101.22,0.9,
830,8.3742,23.09,101.22,0.9,
835,8.3732,23.09,101.22,0.9,
840,8.373,23.09,101.22,0.9,
845,8.3712,23.09,101.22,0.9,
850,8.3715,23.09,101.22,0.9,
855,8.3791,23.09,101.22,0.9,
860,8.3704,23.09,101.22,0.9,
865,8.3758,23.09,101.22,0.9,
870,8.373,23.09,101.22,0.9,
875,8.3849,23.09,101.22,0.9,
880,8.3678,23.1,101.22,0.9,
885,8.3755,23.1,101.22,0.9,
890,8.3731,23.1,101.23,0.9,
895,8.3711,23.1,101.23,0.9,
900,8.3752,23.1,101.23,0.9,
905,8.3743,23.1,101.23,0.9,
910,8.3692,23.1,101.23,0.9,
915,8.3749,23.1,101.23,0.9,
920,8.3745,23.1,101.23,0.9,
925,8.3779,23.1,101.23,0.9,
930,8.37,23.1,101.23,0.9,
935,8.3781,23.1,101.23,0.9,
940,8.3712,23.1,101.23,0.9,
945,8.3638,23.1,101.23,0.9,
950,8.3736,23.1,101.23,0.9,
955,8.3709,23.1,101.23,0.9,
960,8.3674,23.1,101.23,0.9,
965,8.3745,23.1,101.23,0.9,
970,8.3686,23.1,101.23,0.9,
975,8.3743,23.1,101.23,0.9,
980,8.3697,23.1,101.23,0.9,
985,8.3728,23.1,101.23,0.9,
990,8.3722,23.1,101.23,0.9,
995,8.3712,23.1,101.23,0.9,
1000,8.3649,23.1,101.23,0.9,
1005,8.3725,23.1,101.23,0.9,
1010,8.3686,23.1,101.24,0.9,
1015,8.3763,23.1,101.24,0.9,
1020,8.37,23.1,101.24,0.9,
1025,8.3708,23.1,101.24,0.9,
1030,8.3645,23.1,101.24,0.9,
1035,8.3657,23.1,101.24,0.9,
1040,8.3675,23.1,101.24,0.9,
1045,8.3622,23.1,101.24,0.9,
1050,8.3619,23.1,101.24,0.9,
1055,8.366,23.1,101.24,0.9,
1060,8.3658,23.1,101.24,0.9,
1065,8.3667,23.1,101.24,0.9,
1070,8.3702,23.1,101.24,0.9,
1075,8.3639,23.1,101.24,0.9,
1080,8.3679,23.1,101.24,0.9,
1085,8.3644,23.1,101.24,0.9,
1090,8.364,23.1,101.24,0.9,
1095,8.3655,23.1,101.24,0.9,
1100,8.356,23.1,101.24,0.9,
1105,8.3643,23.1,101.24,0.9,
1110,8.3613,23.1,101.24,0.9,
1115,8.3599,23.1,101.24,0.9,
1120,8.3558,23.1,101.24,0.9,
1125,8.3614,23.1,101.24,0.9,
1130,8.3554,23.1,101.24,0.9,
1135,8.3662,23.1,101.24,0.9,
1140,8.3615,23.1,101.24,0.9,
1145,8.3555,23.1,101.24,0.9,
1150,8.3593,23.1,101.24,0.9,
